#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.6" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-7702.2711831542765	-7689.948685484116	-12.322497670160637	-7689.948685484116	3.6143155564587808	2.0	2.0	0.25	0.25	0.25	0.25	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-9.411141747332865	1.0
1000	-4856.366038355121	-4852.74600805527	-3.6200302998515403	-4852.74600805527	0.8638010894988105	2.0	2.0	0.25350506363049485	0.25	0.24649493636950512	0.25	0.059728402483072256	0.9703831085098681	0.0017501030236330474	0.04225629498374889	-1.051397918671129	2.9732503829417505
2000	-4853.8016773219415	-4849.044631995401	-4.75704532654105	-4849.044631995401	1.1052841956046595	2.0	2.0	0.25350506363049485	0.2514755721171708	0.2450193642523343	0.25	0.04500635462139455	1.0032037585702902	0.002312597515097886	0.04805258017820875	-2.3572574556277144	2.7967152431327356
3000	-4852.221416391061	-4847.568112214635	-4.653304176425849	-4847.568112214635	1.1376785322509901	2.0	2.0	0.2563225241907998	0.24865811155686585	0.2450193642523343	0.25	0.04624451205532425	0.9902503946261833	0.0027219450303626034	0.052814052310698946	-2.2377793630056875	2.5320566152341004
4000	-4848.68281584858	-4844.727622711351	-3.9551931372286697	-4844.727622711351	1.0552057596049753	2.0	1.5663671103228924	0.2563225241907998	0.24865811155686585	0.2450193642523343	0.25	0.045728895453290244	1.0224700338323651	6.08029775742517E-4	0.02433780250336624	-1.723462282247298	2.358210200603556
5000	-4847.595817291495	-4844.3435040549975	-3.2523132364975997	-4844.3435040549975	0.9910340982619547	2.0	1.5663671103228924	0.2563225241907998	0.24865811155686585	0.2450193642523343	0.25	0.024496573907766477	0.9916514980514396	5.255123898470309E-4	0.023055495403935394	-1.363559281574101	2.3407639403247718
6000	-4846.406877565124	-4842.932723743778	-3.474153821345948	-4842.932723743778	0.9863877596539776	2.0	1.5663671103228924	0.2563225241907998	0.24865811155686585	0.2450193642523343	0.25	0.017475852602980214	0.9904735796748415	2.462400956832234E-4	0.015796186354862723	-1.7592666833769135	3.007540118550115
7000	-4846.708468073363	-4843.8175164875	-2.890951585863053	-4843.8175164875	0.9169431974510205	2.0	1.5663671103228924	0.2563225241907998	0.24865811155686585	0.2450193642523343	0.25	0.022988464932706315	1.0010925315058814	3.0434483673381707E-4	0.017571676697388124	-1.0354007330688066	2.3147967546568147
8000	-4847.761671983998	-4843.660067272478	-4.101604711519662	-4843.660067272478	0.9155059421636428	2.0	1.5663671103228924	0.24709353851039742	0.25364925847265096	0.2450193642523343	0.2542378387646173	0.00237717798454908	0.9993813174321573	4.916533318135848E-6	0.002215961347953242	-3.3447079780075235	5.03083751854696
9000	-4846.397306589789	-4842.765533054573	-3.631773535216309	-4842.765533054573	0.9861599059884437	2.0	1.5663671103228924	0.250998527220577	0.25364925847265096	0.23507591878883372	0.26027629551793835	0.03989849410309927	0.9690624385200375	8.551925093339363E-4	0.030051583790005675	-1.478104293332162	1.6321418823431457
10000	-4850.743879058821	-4846.795537082298	-3.94834197652313	-4846.795537082298	0.9016996336526268	2.0	1.5028969414051054	0.2504461405722158	0.25364925847265096	0.23562830543719487	0.26027629551793835	0.11872997999681834	0.970206449441191	0.006973445738385193	0.08527599118609142	-1.1124050360835938	1.9940728049837306
11000	-4848.960565963571	-4842.63256042473	-6.328005538840851	-4842.63256042473	0.9629266402435652	2.0	1.5028969414051054	0.2504461405722158	0.25364925847265096	0.23562830543719487	0.26027629551793835	0.035288886506452316	0.9807216583044269	0.0010194024616151957	0.03254962398542484	-4.269153817138868	5.298996270213871
12000	-4846.835416577172	-4842.95684886837	-3.8785677088017065	-4842.95684886837	0.999138033950117	2.0	1.5028969414051054	0.24061108701609676	0.25364925847265096	0.23562830543719487	0.2701113490740574	0.040253134699406966	0.9896009651022795	0.001405722663295675	0.03759795513847019	-1.746119415593971	2.8466558660862944
13000	-4845.466239563492	-4841.57609368564	-3.8901458778517974	-4841.57609368564	0.9681833804006467	2.0	1.5028969414051054	0.24061108701609676	0.25364925847265096	0.23562830543719487	0.2701113490740574	0.06607651943729122	1.0585120916359587	0.007063704734793579	0.0845906360611269	-1.4618933855296776	1.659104900659576
14000	-4845.198750450298	-4841.28367200737	-3.915078442927369	-4841.28367200737	0.9828883302201582	2.0	1.5028969414051054	0.23697847889007814	0.25364925847265096	0.2392609135632135	0.2701113490740574	0.06818434848747564	1.0475704479622612	0.006174449221191298	0.07935603366228684	-1.4668493373987017	2.6034390286090736
