Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-11017.091442928639	-11003.824348998383	N	-11017.091442928639	13.267093930256104
1	-9976.806843971155	-9965.307240202997	2.0	-9976.806843971155	11.499603768157503
2	-9396.511448219657	-9392.876937103567	3.0	-9396.511448219657	3.634511116089987
3	-9243.973294581645	-9238.716024897678	4.0	-9243.973294581645	5.257269683967751
4	-9217.908212228282	-9214.495201232125	4.1	-9217.908212228282	3.4130109961572934
5	-8388.79611519224	-8381.245131881968	3.5	-8388.79611519224	7.550983310273288
6	-7713.553634401629	-7707.8745800974575	3.3	-7713.553634401629	5.679054304171327
7	-7565.5259828090575	-7564.833238828202	2.9	-7565.5259828090575	0.6927439808553109
8	-7212.8258037470005	-7211.830382226	2.9	-7212.8258037470005	0.9954215209996602
9	-7110.237351878798	-7115.090870047659	2.5	-7110.237351878798	-4.853518168861547
10	-6981.925629361307	-6988.070425229632	2.6	-6981.925629361307	-6.144795868324786
11	-6958.393049735096	-6963.122158409456	2.5	-6958.393049735096	-4.729108674360056
12	-6901.507009154819	-6907.638949141717	2.4	-6901.507009154819	-6.13193998689828
13	-6832.106788133487	-6837.306532548014	2.5	-6832.106788133487	-5.199744414526853
14	-6692.09858010851	-6700.572216170343	2.6	-6692.09858010851	-8.473636061833757
15	-6390.829320532053	-6394.643635780396	2.7	-6390.829320532053	-3.814315248342923
16	-6379.0667689039765	-6385.6102520362165	2.8	-6379.0667689039765	-6.543483132239953
17	-6361.129075691643	-6369.516874345073	2.9	-6361.129075691643	-8.387798653430043
18	-6355.573245784272	-6363.6003329627665	2.9	-6355.573245784272	-8.027087178494206
19	-6151.683239338976	-6154.888642477817	3.1	-6151.683239338976	-3.205403138840942
20	-6012.248257656517	-6016.956372681845	3.1	-6012.248257656517	-4.708115025327903
21	-6003.655600753784	-6010.953905614094	3.1	-6003.655600753784	-7.298304860310209
22	-5991.954366487199	-5997.352175673181	3.1	-5991.954366487199	-5.397809185981616
23	-5981.283996336727	-5983.750026133929	3.1	-5981.283996336727	-2.4660297972023093
24	-5958.607649943056	-5964.7159729373	3.1	-5958.607649943056	-6.108322994244219
25	-5934.563695108772	-5939.581352143226	3.1	-5934.563695108772	-5.017657034453922
26	-5910.267339969403	-5915.358438063266	3.1	-5910.267339969403	-5.091098093862047
27	-5900.0535451966025	-5904.231939859225	3.1	-5900.0535451966025	-4.178394662622573
28	-5897.889317935789	-5903.119800938466	3.1	-5897.889317935789	-5.23048300267692
29	-5887.709451545305	-5891.5836265462785	3.2	-5887.709451545305	-3.8741750009736666
30	-5880.228591362886	-5885.790280391854	3.2	-5880.228591362886	-5.561689028968119
31	-5875.606520514352	-5881.731398492042	3.2	-5875.606520514352	-6.124877977689461
32	-5864.082272741997	-5868.894268330383	3.2	-5864.082272741997	-4.811995588385976
33	-5860.157237935454	-5864.748672472402	3.3	-5860.157237935454	-4.5914345369479745
34	-5853.922928631305	-5858.119526281227	3.3	-5853.922928631305	-4.196597649922106
35	-5851.264792705756	-5855.598429062005	3.4	-5851.264792705756	-4.333636356249755
36	-5849.628083704165	-5854.863357308017	3.4	-5849.628083704165	-5.235273603852228
37	-5846.399272168374	-5851.664102255879	3.5	-5846.399272168374	-5.264830087504555
38	-5843.959478149634	-5849.4428799636635	3.5	-5843.959478149634	-5.483401814029429
39	-5843.857539838348	-5848.409048288258	3.5	-5843.857539838348	-4.551508449910117
40	-5841.017545661627	-5846.469829463317	3.5	-5841.017545661627	-5.452283801689825
41	-5839.994204742843	-5844.3491113181335	3.6	-5839.994204742843	-4.354906575290471
42	-5836.830825970191	-5841.708048921648	3.6	-5836.830825970191	-4.877222951457405
43	-5836.481160351736	-5842.485347738217	3.7	-5836.481160351736	-6.004187386480057
44	-5836.359943755339	-5841.073552308815	3.8	-5836.359943755339	-4.713608553475827
45	-5836.266089127981	-5841.266606324311	3.8	-5836.266089127981	-5.000517196329987
46	-5835.144892095098	-5840.280977806408	3.9	-5835.144892095098	-5.13608571131075
47	-5834.9212810792205	-5839.424008045021	3.9	-5834.9212810792205	-4.502726965800139
48	-5834.521204405011	-5839.716182641505	4.0	-5834.521204405011	-5.194978236493348
49	-5834.373180686552	-5839.297425310645	3.7	-5834.373180686552	-4.9242446240934115
50	-5833.068990208607	-5837.905303663567	3.8	-5833.068990208607	-4.836313454960223
51	-5832.751934508163	-5839.2512476658385	3.8	-5832.751934508163	-6.49931315767547
52	-5832.176640081837	-5837.194420978511	3.9	-5832.176640081837	-5.017780896673317
53	-5832.023179637564	-5836.764405266332	4.0	-5832.023179637564	-4.741225628767595
54	-5831.89848743488	-5836.494903573469	4.0	-5831.89848743488	-4.596416138588724
55	-5831.589749773569	-5836.76297310525	4.1	-5831.589749773569	-5.173223331681267
56	-5831.5054244431185	-5837.845411244381	4.1	-5831.5054244431185	-6.339986801261953
57	-5831.196435417862	-5837.616226295201	4.2	-5831.196435417862	-6.419790877339596
58	-5831.143484681535	-5836.837779467664	4.3	-5831.143484681535	-5.694294786129778
59	-5830.959473483385	-5835.948756981183	4.2	-5830.959473483385	-4.989283497797034
60	-5830.610736403952	-5835.3958404913255	4.2	-5830.610736403952	-4.7851040873740205
61	-5830.46721517588	-5835.727042140647	4.3	-5830.46721517588	-5.259826964767834
62	-5830.4576826785315	-5835.424944099462	4.4	-5830.4576826785315	-4.9672614209300425
63	-5830.26586051245	-5836.212622512175	4.4	-5830.26586051245	-5.946761999725255
64	-5830.152513903551	-5835.046026798621	4.5	-5830.152513903551	-4.89351289506945
65	-5830.1507255350325	-5835.09798099144	4.6	-5830.1507255350325	-4.947255456407468
66	-5830.124194750711	-5835.572923868534	4.6	-5830.124194750711	-5.448729117823691
67	-5830.122508599223	-5835.5684792975335	4.7	-5830.122508599223	-5.445970698310995
68	-5830.109324975626	-5835.496424883006	4.8	-5830.109324975626	-5.387099907379867
69	-5830.094510208101	-5835.92485972135	4.9	-5830.094510208101	-5.830349513248494
70	-5830.039213312478	-5836.659170439508	5.0	-5830.039213312478	-6.619957127029905
71	-5830.029681869909	-5834.826461063969	5.0	-5830.029681869909	-4.796779194059951
72	-5830.0265183298025	-5836.077273307636	5.1	-5830.0265183298025	-6.0507549778330825
73	-5830.026434012838	-5835.504746639826	5.2	-5830.026434012838	-5.478312626988436
74	-5830.021400124755	-5836.400275544038	5.2	-5830.021400124755	-6.378875419282502
75	-5830.005624096085	-5834.850929507503	5.3	-5830.005624096085	-4.8453054114176535
76	-5830.001929078779	-5834.771805424757	5.4	-5830.001929078779	-4.769876345978739
77	-5829.999923982427	-5835.299517248899	5.4	-5829.999923982427	-5.299593266471334
78	-5829.996805341839	-5834.95848123891	5.5	-5829.996805341839	-4.961675897071331
79	-5829.995472074575	-5835.377523508756	5.6	-5829.995472074575	-5.382051434180288
80	-5829.995175154132	-5834.858433893336	5.7	-5829.995175154132	-4.863258739203797
81	-5829.993935512676	-5834.7714878781935	5.8	-5829.993935512676	-4.777552365517142
82	-5829.988525595905	-5834.79040847667	5.8	-5829.988525595905	-4.801882880764069
83	-5829.9867616502725	-5835.330987592506	5.9	-5829.9867616502725	-5.344225942233175
