"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-5740.86659955306,6.95422748475685,1.65918135715246e-13,11.3721622501347
"2","GTR","relaxed_log_normal","yule",-5748.39759100916,6.35582660016619,8.89663609341878e-17,8.73623820436375
"3","GTR","strict","birth_death",-5751.90389132647,7.67789909626281,2.66967839524323e-18,12.2036035638126
"4","GTR","strict","yule",-5735.20974947348,6.10159060971112,4.74933313697652e-11,4.2404219975892
"5","HKY","relaxed_log_normal","birth_death",-5721.78464366814,4.23480975404852,0.0000321426740318627,10.63163762761
"6","HKY","relaxed_log_normal","yule",-5736.85800916286,6.34774243073703,9.13697729982264e-12,6.9186914686041
"7","HKY","strict","birth_death",-5732.44292426687,5.61115040479718,0.00000000075552624188809,5.90544901488532
"8","HKY","strict","yule",-5723.42367165201,5.10689904045702,0.00000624110077125195,5.61376306767071
"9","JC69","relaxed_log_normal","birth_death",-5711.5300308864,3.26428637371219,0.913279583770984,4.67767166463692
"10","JC69","relaxed_log_normal","yule",-5713.88484543763,3.99320336869032,0.0866803754295983,5.54844413552973
"11","JC69","strict","birth_death",-5725.03677407918,4.53455128870932,0.00000124365440383737,11.479103063107
"12","TN93","relaxed_log_normal","birth_death",-5741.68465883516,6.57782032700656,7.32175558531576e-14,7.09266388774342
"13","TN93","relaxed_log_normal","yule",-5726.16629248476,5.3005663298542,0.000000401935255109485,9.18914218045832
"14","TN93","strict","birth_death",-5734.86821576271,5.65621380322278,6.68280578292675e-11,8.01591733384678
"15","TN93","strict","yule",-5729.80591444777,5.24274193135322,0.0000000105557322721164,6.91296140979591
