"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6168.04862655577,6.01579366723984,0.000000218374464712818,5.99698124450729
"2","GTR","relaxed_log_normal","yule",-6167.37898084725,4.95580936584816,0.000000426604359747529,8.89343723731176
"3","GTR","strict","birth_death",-6173.44705643857,5.01453588788246,0.000000000987855778002033,7.06029921493818
"4","GTR","strict","yule",-6177.47823050086,5.75797031320216,1.75378718987635e-11,7.71038355901529
"5","HKY","relaxed_log_normal","birth_death",-6163.4739038242,4.40962278619733,0.0000211825720359107,12.7926407369714
"6","HKY","relaxed_log_normal","yule",-6176.93050876441,5.97244270614614,3.03283945503419e-11,7.45025541313679
"7","HKY","strict","birth_death",-6165.79079936009,6.165946230847,0.00000208815987154212,6.54432422818343
"8","HKY","strict","yule",-6152.77705415128,4.25264745956271,0.936615797762245,5.07224000476602
"9","JC69","relaxed_log_normal","birth_death",-6155.47155082524,4.05122692200859,0.0632931108432104,3.56452717172142
"10","JC69","relaxed_log_normal","yule",-6164.85002617415,4.81924284966085,0.00000534978524972767,8.10924599318247
"11","JC69","strict","birth_death",-6168.39120001462,5.49003826247339,0.000000155032978433839,5.09903953311017
"12","TN93","relaxed_log_normal","birth_death",-6169.94028464302,6.04799343957482,0.0000000329355700399654,15.109800259399
"13","TN93","relaxed_log_normal","yule",-6162.40595348645,4.87618336569937,0.0000616287885254175,9.12736663381608
"14","TN93","strict","birth_death",-6172.03652380009,5.69608806481137,0.00000000404836895525817,13.4446316102056
"15","TN93","strict","yule",-6172.03429606263,5.38115240315912,0.00000000405739771154367,5.1473870041986
