Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-12422.489865859845	-12417.446908967984	N	-12422.489865859845	5.042956891861632
1	-8992.447035929781	-8997.019951732127	2.0	-8992.447035929781	-4.572915802346764
2	-8124.445049828398	-8127.482765264644	3.0	-8124.445049828398	-3.0377154362455387
3	-7954.364207800201	-7956.417699539083	4.0	-7954.364207800201	-2.0534917388817266
4	-7948.1598080348695	-7960.016969327213	5.0	-7948.1598080348695	-11.857161292343172
5	-7346.284178135793	-7350.309228304827	4.6	-7346.284178135793	-4.025050169034735
6	-7032.905781674116	-7034.634770838026	4.5	-7032.905781674116	-1.7289891639098205
7	-6669.352642873526	-6675.7094465408345	4.3	-6669.352642873526	-6.356803667309019
8	-6626.651168556347	-6634.7063939292075	4.3	-6626.651168556347	-8.055225372859729
9	-6618.61272464242	-6625.078867202494	2.7	-6618.61272464242	-6.466142560073827
10	-6531.666980546687	-6535.5084823939615	2.8	-6531.666980546687	-3.84150184727424
11	-6343.641200386273	-6350.36042318008	2.6	-6343.641200386273	-6.719222793807125
12	-6329.07298826744	-6339.05812151272	2.6	-6329.07298826744	-9.985133245279846
13	-6035.620176839234	-6045.593634050812	2.7	-6035.620176839234	-9.973457211578221
14	-5899.798075655346	-5904.108687337727	2.8	-5899.798075655346	-4.310611682381215
15	-5785.895668538872	-5789.322030721556	2.9	-5785.895668538872	-3.4263621826840502
16	-5773.37823027843	-5777.893363715856	3.0	-5773.37823027843	-4.515133437425544
17	-5764.771244459159	-5770.003645063624	2.9	-5764.771244459159	-5.23240060446507
18	-5748.467307852134	-5755.699804157142	2.9	-5748.467307852134	-7.232496305008309
19	-5731.855398866004	-5738.431519432276	2.8	-5731.855398866004	-6.576120566271709
20	-5729.780132304627	-5734.945629649749	2.8	-5729.780132304627	-5.1654973451221124
21	-5728.087149139135	-5732.362917347894	2.8	-5728.087149139135	-4.2757682087586595
22	-5727.018045733481	-5732.775265454815	2.8	-5727.018045733481	-5.757219721333651
23	-5721.751317373487	-5727.01938508327	2.8	-5721.751317373487	-5.268067709782991
24	-5720.394131973461	-5728.147262884667	2.8	-5720.394131973461	-7.753130911205437
25	-5719.99313854105	-5725.535907552113	2.9	-5719.99313854105	-5.54276901106255
26	-5714.738275662832	-5719.815685324654	2.9	-5714.738275662832	-5.077409661821909
27	-5712.774711485789	-5718.880141985359	3.0	-5712.774711485789	-6.1054304995697635
28	-5707.56942501718	-5714.245267765548	3.1	-5707.56942501718	-6.675842748368057
29	-5704.279939332288	-5709.503655330337	3.2	-5704.279939332288	-5.223715998048741
30	-5701.609561143284	-5707.381244893898	3.3	-5701.609561143284	-5.7716837506137315
31	-5699.849757542419	-5705.3018267813	3.4	-5699.849757542419	-5.452069238881346
32	-5699.821609160848	-5705.427212449356	3.5	-5699.821609160848	-5.605603288507833
33	-5699.391097295851	-5704.2987898027095	3.6	-5699.391097295851	-4.907692506858296
34	-5697.993187441917	-5704.179039443538	3.7	-5697.993187441917	-6.185852001621578
35	-5697.718206499128	-5702.626189357916	3.7	-5697.718206499128	-4.907982858787531
36	-5697.389136703989	-5702.213998896882	3.8	-5697.389136703989	-4.824862192893423
37	-5697.0196963518265	-5701.947960729942	3.9	-5697.0196963518265	-4.928264378115535
38	-5696.804705092531	-5701.759310901453	4.0	-5696.804705092531	-4.954605808922484
39	-5695.870895131759	-5701.739619456995	4.2	-5695.870895131759	-5.868724325234853
40	-5695.740850436582	-5701.847439875707	4.3	-5695.740850436582	-6.106589439125213
41	-5695.29645125795	-5700.4261863714355	4.4	-5695.29645125795	-5.129735113485227
42	-5695.154913929769	-5700.411650381395	4.5	-5695.154913929769	-5.256736451626671
43	-5695.048277639308	-5701.415522173892	4.6	-5695.048277639308	-6.3672445345832935
44	-5695.002182470265	-5699.903652569822	4.7	-5695.002182470265	-4.9014700995564136
45	-5694.977326510451	-5700.643370747098	4.8	-5694.977326510451	-5.666044236646854
46	-5694.974249005046	-5699.948600250039	4.9	-5694.974249005046	-4.9743512449932155
47	-5694.972333637254	-5699.976789728939	5.0	-5694.972333637254	-5.004456091685018
48	-5694.961381333979	-5700.035909628256	5.1	-5694.961381333979	-5.074528294277316
49	-5694.910872389569	-5699.966169348371	5.1	-5694.910872389569	-5.055296958802272
50	-5694.903935329147	-5700.136318695635	5.2	-5694.903935329147	-5.232383366487586
51	-5694.897211767891	-5699.898154301691	5.3	-5694.897211767891	-5.000942533799082
52	-5694.889147905618	-5700.046796179009	5.4	-5694.889147905618	-5.157648273390579
53	-5694.87263064944	-5699.932967912537	5.5	-5694.87263064944	-5.060337263096364
54	-5694.86935299716	-5700.266350187406	5.6	-5694.86935299716	-5.396997190246232
55	-5694.868611860791	-5700.014759707551	5.8	-5694.868611860791	-5.14614784676016
56	-5694.86725062701	-5699.892986712411	5.9	-5694.86725062701	-5.0257360853999495
57	-5694.862588607269	-5699.815603144491	6.0	-5694.862588607269	-4.953014537222564
58	-5694.857492602639	-5701.3124034235225	6.1	-5694.857492602639	-6.454910820884034
59	-5694.857199708821	-5701.31376903032	6.4	-5694.857199708821	-6.45656932149924
60	-5694.855028406127	-5700.465535401275	6.5	-5694.855028406127	-5.610506995148602
61	-5694.853734274913	-5700.664702380236	6.6	-5694.853734274913	-5.8109681053233135
