#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-9351.347516551059	-9346.69514019096	-4.652376360099735	-9346.69514019096	2.149105658912867	-4.652376360099735	1.0	0.5
1000	-6821.824482991435	-6818.309227790638	-3.51525520079636	-6818.309227790638	1.0061648968003274	-3.51525520079636	0.846211594558506	0.38020026861589634
2000	-6822.999707396958	-6818.627788082407	-4.371919314550322	-6818.627788082407	1.1109216558115138	-4.371919314550322	0.5291379491622794	0.3916525469170995
3000	-6826.143786320272	-6821.654890612155	-4.488895708116797	-6821.654890612155	0.9822522305707605	-4.488895708116797	1.497785860456773	0.5370365262718559
4000	-6826.907970433137	-6820.515463707647	-6.392506725490465	-6820.515463707647	1.0869080398539095	-6.392506725490465	2.973252178959573	0.15068612748130245
5000	-6821.775289247235	-6817.474611220887	-4.300678026348998	-6817.474611220887	1.0392587503158037	-4.300678026348998	0.41958026557852596	0.5473462238077088
6000	-6821.491049060378	-6817.53143030789	-3.959618752487943	-6817.53143030789	0.9914734393189335	-3.959618752487943	0.5772426290960894	0.7803296636312897
7000	-6824.084867798898	-6820.516112468459	-3.5687553304389104	-6820.516112468459	1.039350392186165	-3.5687553304389104	1.3171761706154992	0.1160872094706295
8000	-6825.857531534961	-6819.083324102924	-6.774207432037121	-6819.083324102924	1.0582494548607337	-6.774207432037121	3.1519359510343494	0.10134848446190114
9000	-6822.709601482066	-6818.984935420885	-3.7246660611804714	-6818.984935420885	1.059121994114677	-3.7246660611804714	0.8551253494033313	0.4173327243640975
10000	-6821.757030519711	-6818.281149221892	-3.4758812978193596	-6818.281149221892	0.9882331894547229	-3.4758812978193596	1.5671394759552681	0.16306986707979798
11000	-6821.647498133116	-6817.792814128207	-3.854684004908735	-6817.792814128207	0.9421251018260156	-3.854684004908735	1.3570601112904486	0.4998481776420802
12000	-6825.825844268855	-6821.785507530721	-4.040336738133931	-6821.785507530721	0.9441639521289754	-4.040336738133931	0.8343809694810335	0.721924213766773
13000	-6822.687296496292	-6818.633318685915	-4.053977810377396	-6818.633318685915	0.9882016034460586	-4.053977810377396	0.37029133112088664	0.8511535024204853
14000	-6821.840446034147	-6817.968423974702	-3.8720220594449137	-6817.968423974702	1.059084404658839	-3.8720220594449137	0.6967318387003276	0.5937612692816725
15000	-6821.956136939525	-6818.130605150298	-3.8255317892268472	-6818.130605150298	1.0547608319009107	-3.8255317892268472	0.6687318170651229	0.6780760854890573
